%% LaTeX2e file `data.dat'
%% generated by the `filecontents' environment
%% from source `design-document' on 2014/04/08.
%%
a,b,c,d,e,f,g,h
0,0,0,0, 0,27.99,51,0
1,0.7,1,0.8, 51,27.99,51,27.99
2, 1.3,2, 1.5
3, 2.9,3, 3.4
4, 3.2,4, 3.9
5, 3.3,5, 4.2
6, 3.4,6, 4.9
7,  3.7,7, 5.3
8, 3.9 ,8,5.6
9, 4.2 ,9, 5.7
10, 4.5,10, 6.2
11, 4.9, 11, 6.8
12, 5.3, 12, 6.9
13, 5.4,13, 7.1
14, 5.5,14, 7.3
15, 6.0,15, 7.6
16, 6.2,16, 8.9
17, 6.4,17, 9.2
18,  7.0 ,18, 10.1
19, 7.2,19, 10.8
20, 7.3,20, 11.8
21, 7.5,21, 12.9
22, 7.9,22, 13.8
23, 8.0,23, 14.7
24, 8.0,24, 15.3
25, 8.1,25, 16.9
26, 8.2,26, 17.2
27, 8.4,27, 18.3
28, 9.4,28, 18.9
29, 9.9,29, 20.9
30, 9.9,30,  22.4
31, 10.2,31, 23.9
32, 10.4, 32, 24.3
33, 10.7, 33, 25,9
34, 11.6, 34, 26.3
35, 11.7, 35, 27.4
36, 11.8, 36, 27.5
37, 12.7, 37, 27.6
38, 12.9, 38, 27.990
39, 13.2,
40, 13.9,
41, 13.9,
42, 14.5,
43, 14.8,
44, 15.2,
45, 16.9,
46, 17.4 ,
47, 18.2,
48, 18.9,
49, 19.3,
50, 20.5,
51, 21.2,

