%% LaTeX2e file `data4.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/28.
%%
a b c d e f g h
5.215 1 1 1 1 1 1 1
6.414 1 1 1 1 1 1 1
9.022 1 1 1 1 1 1 1
9.135 1 1 1 1 1 1 1
10.721 1 1 1 1 1 1 1
12.149 1 1 1 1 1 1 1
17.468 1 1 1 1 1 1 1
17.556 1 1 1 1 1 1 1
17.629999 1 1 1 1 1 1 1
20.441999 1 1 1 1 1 1 1
21.146999 1 1 1 1 1 1 1
22.165001 1 1 1 1 1 1 1
22.271 1 1 1 1 1 1 1
23.767 1 1 1 1 1 1 1
24.483999 1 1 1 1 1 1 1
25.183001 1 1 1 1 1 1 1
25.775999 1 1 1 1 1 1 1
25.886 1 1 1 1 1 1 1
26.080999 1 1 1 1 1 1 1
26.709999 1 2 2 2 2 2 2
26.771999 1 2 2 2 2 2 2
26.959999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
27.201 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
30.58 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
30.923 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
31.951 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
32.008999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
32.949001 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
33.133999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
34.431 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
34.773998 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
34.834 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
36.011002 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
37.271999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
39.213001 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
39.627998 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
43.209999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
43.470001 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
43.823002 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
44.563 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
